日付,商品名,カテゴリ,数量,単価,金額,担当者,地域
2025/01/18,ボールペン,文房具,3,150,450,高橋,福岡
2025/01/18,クリアファイル,文房具,3,200,600,佐藤,大阪
2025/01/19,ミネラルウォーター,食品,1,100,100,田中,大阪
2025/01/19,お茶パック,食品,2,350,700,山田,大阪
2025/01/19,洗剤,日用品,10,400,4000,山田,東京
2025/01/20,ハンドソープ,日用品,7,350,2450,山田,東京
2025/01/21,クリアファイル,文房具,8,200,1600,鈴木,東京
2025/01/21,USBケーブル,家電,7,800,5600,山田,東京
2025/01/22,ハンドソープ,日用品,1,350,350,田中,名古屋
2025/01/22,クリアファイル,文房具,14,200,2800,高橋,福岡
2025/01/22,お茶パック,食品,6,350,2100,鈴木,名古屋
2025/01/22,ハンドソープ,日用品,6,350,2100,田中,名古屋
2025/01/22,洗剤,日用品,6,400,2400,鈴木,大阪
2025/01/22,洗剤,日用品,25,400,10000,鈴木,東京
2025/01/22,ノート,文房具,22,300,6600,鈴木,福岡
2025/01/22,消しゴム,文房具,15,100,1500,高橋,福岡
2025/01/23,インスタントコーヒー,食品,15,500,7500,佐藤,大阪
2025/01/24,ハンドソープ,日用品,9,350,3150,鈴木,大阪
2025/01/25,消しゴム,文房具,9,100,900,高橋,大阪
2025/01/26,消しゴム,文房具,17,100,1700,鈴木,福岡
2025/01/26,ハンドソープ,日用品,8,350,2800,田中,名古屋
2025/01/26,USBケーブル,家電,9,800,7200,鈴木,東京
2025/01/26,電池,家電,14,500,7000,田中,福岡
2025/01/28,洗剤,日用品,12,400,4800,高橋,名古屋
2025/01/28,インスタントコーヒー,食品,17,500,8500,鈴木,東京
2025/01/28,消しゴム,文房具,6,100,600,鈴木,福岡
2025/01/28,洗剤,日用品,8,400,3200,鈴木,名古屋
2025/01/29,モバイルバッテリー,家電,23,3000,69000,鈴木,東京
2025/01/29,インスタントコーヒー,食品,5,500,2500,鈴木,東京
2025/01/29,ノート,文房具,22,300,6600,鈴木,大阪
2025/01/30,クリアファイル,文房具,4,200,800,山田,福岡
2025/01/30,クリアファイル,文房具,16,200,3200,鈴木,東京
2025/01/30,ノート,文房具,15,300,4500,高橋,福岡
2025/01/31,消しゴム,文房具,9,100,900,山田,福岡
2025/01/31,USBケーブル,家電,2,800,1600,佐藤,東京
2025/02/01,USBケーブル,家電,4,800,3200,山田,東京
2025/02/02,消しゴム,文房具,8,100,800,田中,東京
2025/02/02,チョコレート,食品,17,250,4250,鈴木,東京
2025/02/02,クリアファイル,文房具,8,200,1600,佐藤,福岡
2025/02/03,チョコレート,食品,8,250,2000,田中,大阪
2025/02/03,ハンドソープ,日用品,10,350,3500,田中,東京
2025/02/03,ティッシュペーパー,日用品,11,300,3300,山田,名古屋
2025/02/03,ボールペン,文房具,5,150,750,高橋,福岡
2025/02/04,ティッシュペーパー,日用品,7,300,2100,佐藤,福岡
2025/02/04,チョコレート,食品,12,250,3000,佐藤,名古屋
2025/02/05,インスタントコーヒー,食品,13,500,6500,鈴木,大阪
2025/02/05,チョコレート,食品,13,250,3250,佐藤,福岡
2025/02/05,ミネラルウォーター,食品,13,100,1300,高橋,大阪
2025/02/06,ティッシュペーパー,日用品,6,300,1800,田中,名古屋
2025/02/06,消しゴム,文房具,21,100,2100,鈴木,福岡
2025/02/06,ミネラルウォーター,食品,22,100,2200,鈴木,福岡
2025/02/06,ボールペン,文房具,24,150,3600,鈴木,名古屋
2025/02/06,イヤホン,家電,2,2500,5000,佐藤,東京
2025/02/07,ティッシュペーパー,日用品,25,300,7500,鈴木,大阪
2025/02/07,チョコレート,食品,13,250,3250,山田,大阪
2025/02/08,クリアファイル,文房具,3,200,600,高橋,東京
2025/02/08,ミネラルウォーター,食品,7,100,700,佐藤,東京
2025/02/08,消しゴム,文房具,11,100,1100,田中,名古屋
2025/02/08,クリアファイル,文房具,2,200,400,山田,福岡
2025/02/09,USBケーブル,家電,11,800,8800,山田,東京
2025/02/09,洗剤,日用品,10,400,4000,田中,名古屋
2025/02/10,洗剤,日用品,2,400,800,佐藤,名古屋
2025/02/10,ノート,文房具,10,300,3000,田中,福岡
2025/02/11,イヤホン,家電,9,2500,22500,佐藤,大阪
2025/02/11,お茶パック,食品,7,350,2450,田中,名古屋
2025/02/11,お茶パック,食品,8,350,2800,鈴木,大阪
2025/02/11,お茶パック,食品,22,350,7700,鈴木,福岡
2025/02/12,ボールペン,文房具,13,150,1950,山田,福岡
2025/02/12,ティッシュペーパー,日用品,13,300,3900,鈴木,名古屋
2025/02/13,チョコレート,食品,18,250,4500,鈴木,大阪
2025/02/13,USBケーブル,家電,11,800,8800,田中,大阪
2025/02/13,お茶パック,食品,4,350,1400,山田,大阪
2025/02/14,ティッシュペーパー,日用品,10,300,3000,佐藤,福岡
2025/02/14,ハンドソープ,日用品,20,350,7000,鈴木,東京
2025/02/15,消しゴム,文房具,10,100,1000,佐藤,福岡
2025/02/15,ノート,文房具,13,300,3900,山田,大阪
2025/02/15,お茶パック,食品,24,350,8400,鈴木,大阪
2025/02/15,USBケーブル,家電,21,800,16800,鈴木,大阪
2025/02/16,ハンドソープ,日用品,21,350,7350,鈴木,東京
2025/02/16,チョコレート,食品,7,250,1750,鈴木,大阪
2025/02/16,ミネラルウォーター,食品,19,100,1900,鈴木,大阪
2025/02/16,チョコレート,食品,10,250,2500,鈴木,東京
2025/02/16,お茶パック,食品,11,350,3850,鈴木,大阪
2025/02/17,ミネラルウォーター,食品,14,100,1400,鈴木,東京
2025/02/18,ハンドソープ,日用品,8,350,2800,山田,福岡
2025/02/18,消しゴム,文房具,2,100,200,佐藤,福岡
2025/02/18,ノート,文房具,8,300,2400,田中,福岡
2025/02/18,ハンドソープ,日用品,19,350,6650,鈴木,名古屋
2025/02/19,ボールペン,文房具,15,150,2250,佐藤,東京
2025/02/19,インスタントコーヒー,食品,23,500,11500,鈴木,大阪
2025/02/19,ノート,文房具,13,300,3900,鈴木,福岡
2025/02/20,インスタントコーヒー,食品,5,500,2500,山田,大阪
2025/02/20,ティッシュペーパー,日用品,21,300,6300,鈴木,名古屋
2025/02/20,洗剤,日用品,23,400,9200,鈴木,福岡
2025/02/20,ボールペン,文房具,6,150,900,山田,名古屋
2025/02/20,洗剤,日用品,15,400,6000,山田,名古屋
2025/02/20,消しゴム,文房具,1,100,100,山田,福岡
2025/02/21,お茶パック,食品,15,350,5250,鈴木,大阪
2025/02/22,お茶パック,食品,4,350,1400,佐藤,大阪
2025/02/22,ティッシュペーパー,日用品,4,300,1200,田中,福岡
2025/02/22,ミネラルウォーター,食品,20,100,2000,鈴木,東京
2025/02/22,ティッシュペーパー,日用品,22,300,6600,鈴木,名古屋
2025/02/23,ボールペン,文房具,13,150,1950,山田,大阪
2025/02/23,インスタントコーヒー,食品,8,500,4000,鈴木,福岡
2025/02/23,チョコレート,食品,7,250,1750,鈴木,大阪
2025/02/23,インスタントコーヒー,食品,4,500,2000,高橋,大阪
2025/02/23,ボールペン,文房具,8,150,1200,鈴木,東京
2025/02/23,消しゴム,文房具,9,100,900,高橋,大阪
2025/02/24,ティッシュペーパー,日用品,7,300,2100,佐藤,名古屋
2025/02/24,ボールペン,文房具,12,150,1800,山田,福岡
2025/02/24,ノート,文房具,2,300,600,佐藤,大阪
2025/02/24,ティッシュペーパー,日用品,14,300,4200,鈴木,名古屋
2025/02/25,ハンドソープ,日用品,10,350,3500,田中,福岡
2025/02/25,インスタントコーヒー,食品,5,500,2500,山田,大阪
2025/02/25,クリアファイル,文房具,19,200,3800,鈴木,福岡
2025/02/26,ミネラルウォーター,食品,15,100,1500,鈴木,東京
2025/02/26,ミネラルウォーター,食品,10,100,1000,山田,福岡
2025/02/26,電池,家電,16,500,8000,鈴木,東京
2025/02/26,クリアファイル,文房具,14,200,2800,鈴木,福岡
2025/02/26,イヤホン,家電,3,2500,7500,田中,東京
2025/02/27,インスタントコーヒー,食品,6,500,3000,鈴木,大阪
2025/02/27,ハンドソープ,日用品,22,350,7700,鈴木,東京
2025/02/28,クリアファイル,文房具,10,200,2000,鈴木,福岡
2025/02/28,インスタントコーヒー,食品,7,500,3500,佐藤,大阪
2025/02/28,チョコレート,食品,5,250,1250,山田,大阪
2025/03/01,イヤホン,家電,3,2500,7500,高橋,大阪
2025/03/01,イヤホン,家電,6,2500,15000,鈴木,東京
2025/03/01,ミネラルウォーター,食品,5,100,500,佐藤,東京
2025/03/01,ノート,文房具,5,300,1500,山田,福岡
2025/03/01,ミネラルウォーター,食品,13,100,1300,高橋,大阪
2025/03/01,お茶パック,食品,7,350,2450,鈴木,大阪
2025/03/01,ノート,文房具,21,300,6300,鈴木,福岡
2025/03/02,洗剤,日用品,16,400,6400,鈴木,福岡
2025/03/02,ミネラルウォーター,食品,14,100,1400,高橋,福岡
2025/03/02,洗剤,日用品,4,400,1600,高橋,名古屋
2025/03/02,消しゴム,文房具,20,100,2000,鈴木,福岡
2025/03/02,インスタントコーヒー,食品,6,500,3000,鈴木,大阪
2025/03/02,ミネラルウォーター,食品,13,100,1300,高橋,大阪
2025/03/02,ティッシュペーパー,日用品,11,300,3300,佐藤,名古屋
2025/03/03,チョコレート,食品,25,250,6250,鈴木,大阪
2025/03/03,ハンドソープ,日用品,6,350,2100,高橋,名古屋
2025/03/03,チョコレート,食品,7,250,1750,高橋,大阪
2025/03/03,ハンドソープ,日用品,12,350,4200,鈴木,大阪
2025/03/03,ミネラルウォーター,食品,11,100,1100,田中,大阪
2025/03/03,インスタントコーヒー,食品,7,500,3500,鈴木,大阪
2025/03/03,ミネラルウォーター,食品,8,100,800,田中,大阪
2025/03/03,洗剤,日用品,10,400,4000,鈴木,福岡
2025/03/04,ハンドソープ,日用品,12,350,4200,高橋,名古屋
2025/03/04,クリアファイル,文房具,5,200,1000,佐藤,福岡
2025/03/04,モバイルバッテリー,家電,16,3000,48000,鈴木,福岡
2025/03/04,チョコレート,食品,3,250,750,佐藤,大阪
2025/03/04,ティッシュペーパー,日用品,10,300,3000,山田,名古屋
2025/03/04,インスタントコーヒー,食品,20,500,10000,鈴木,大阪
2025/03/05,ミネラルウォーター,食品,3,100,300,田中,名古屋
2025/03/05,ハンドソープ,日用品,11,350,3850,田中,福岡
2025/03/05,洗剤,日用品,15,400,6000,鈴木,名古屋
2025/03/05,クリアファイル,文房具,13,200,2600,山田,大阪
2025/03/06,消しゴム,文房具,15,100,1500,佐藤,大阪
2025/03/06,クリアファイル,文房具,10,200,2000,鈴木,福岡
2025/03/06,洗剤,日用品,11,400,4400,佐藤,大阪
2025/03/07,モバイルバッテリー,家電,14,3000,42000,高橋,東京
2025/03/08,ティッシュペーパー,日用品,7,300,2100,高橋,名古屋
2025/03/09,イヤホン,家電,14,2500,35000,高橋,東京
2025/03/10,電池,家電,16,500,8000,鈴木,東京
2025/03/10,電池,家電,3,500,1500,田中,福岡
2025/03/10,インスタントコーヒー,食品,7,500,3500,田中,大阪
2025/03/10,モバイルバッテリー,家電,10,3000,30000,田中,名古屋
2025/03/10,ハンドソープ,日用品,3,350,1050,佐藤,福岡
2025/03/10,ボールペン,文房具,10,150,1500,高橋,大阪
2025/03/10,ノート,文房具,9,300,2700,鈴木,福岡
2025/03/11,ハンドソープ,日用品,11,350,3850,高橋,名古屋
2025/03/11,ティッシュペーパー,日用品,4,300,1200,高橋,東京
2025/03/11,USBケーブル,家電,8,800,6400,佐藤,大阪
2025/03/11,ハンドソープ,日用品,3,350,1050,田中,福岡
2025/03/11,消しゴム,文房具,7,100,700,山田,大阪
2025/03/11,ノート,文房具,9,300,2700,田中,福岡
2025/03/11,ボールペン,文房具,13,150,1950,鈴木,名古屋
2025/03/11,洗剤,日用品,8,400,3200,田中,福岡
2025/03/12,ミネラルウォーター,食品,10,100,1000,鈴木,大阪
2025/03/12,洗剤,日用品,7,400,2800,高橋,大阪
2025/03/12,ハンドソープ,日用品,25,350,8750,鈴木,名古屋
2025/03/12,洗剤,日用品,2,400,800,佐藤,福岡
2025/03/12,クリアファイル,文房具,11,200,2200,高橋,福岡
2025/03/12,ボールペン,文房具,25,150,3750,鈴木,福岡
2025/03/12,ボールペン,文房具,6,150,900,山田,福岡
2025/03/13,お茶パック,食品,15,350,5250,佐藤,大阪
2025/03/13,モバイルバッテリー,家電,2,3000,6000,山田,東京
2025/03/14,ティッシュペーパー,日用品,5,300,1500,佐藤,福岡
2025/03/14,ティッシュペーパー,日用品,15,300,4500,佐藤,名古屋
2025/03/14,お茶パック,食品,21,350,7350,鈴木,大阪
2025/03/14,ハンドソープ,日用品,12,350,4200,田中,福岡
2025/03/14,ハンドソープ,日用品,11,350,3850,佐藤,名古屋
2025/03/14,クリアファイル,文房具,12,200,2400,鈴木,東京
2025/03/14,ハンドソープ,日用品,20,350,7000,鈴木,東京
2025/03/14,イヤホン,家電,3,2500,7500,高橋,東京
2025/03/15,ノート,文房具,1,300,300,佐藤,福岡
2025/03/15,ハンドソープ,日用品,4,350,1400,佐藤,名古屋
2025/03/15,お茶パック,食品,14,350,4900,田中,大阪
2025/03/15,ティッシュペーパー,日用品,4,300,1200,田中,福岡
2025/03/15,消しゴム,文房具,10,100,1000,佐藤,福岡
2025/03/15,USBケーブル,家電,9,800,7200,鈴木,東京
2025/03/15,ティッシュペーパー,日用品,10,300,3000,鈴木,名古屋
2025/03/15,ティッシュペーパー,日用品,19,300,5700,鈴木,名古屋
2025/03/16,ボールペン,文房具,8,150,1200,鈴木,福岡
2025/03/16,お茶パック,食品,11,350,3850,佐藤,福岡
2025/03/16,ノート,文房具,8,300,2400,鈴木,名古屋
2025/03/16,ティッシュペーパー,日用品,13,300,3900,高橋,名古屋
2025/03/17,洗剤,日用品,6,400,2400,鈴木,福岡
2025/03/17,クリアファイル,文房具,25,200,5000,鈴木,福岡
2025/03/17,ミネラルウォーター,食品,17,100,1700,鈴木,福岡
2025/03/17,ハンドソープ,日用品,6,350,2100,高橋,東京
2025/03/18,お茶パック,食品,8,350,2800,田中,大阪
2025/03/18,ハンドソープ,日用品,16,350,5600,鈴木,名古屋
2025/03/18,インスタントコーヒー,食品,6,500,3000,山田,大阪
2025/03/18,インスタントコーヒー,食品,5,500,2500,田中,大阪
2025/03/19,消しゴム,文房具,11,100,1100,佐藤,福岡
2025/03/19,チョコレート,食品,14,250,3500,鈴木,大阪
2025/03/20,インスタントコーヒー,食品,11,500,5500,佐藤,大阪
2025/03/20,ティッシュペーパー,日用品,6,300,1800,鈴木,名古屋
2025/03/20,ミネラルウォーター,食品,1,100,100,山田,大阪
2025/03/20,お茶パック,食品,21,350,7350,鈴木,大阪
2025/03/21,ティッシュペーパー,日用品,2,300,600,高橋,東京
2025/03/21,ハンドソープ,日用品,8,350,2800,山田,大阪
2025/03/21,モバイルバッテリー,家電,3,3000,9000,高橋,大阪
2025/03/22,ハンドソープ,日用品,2,350,700,佐藤,東京
2025/03/22,電池,家電,7,500,3500,田中,東京
2025/03/22,イヤホン,家電,5,2500,12500,高橋,大阪
2025/03/22,ティッシュペーパー,日用品,13,300,3900,田中,大阪
2025/03/22,ミネラルウォーター,食品,2,100,200,山田,福岡
2025/03/22,クリアファイル,文房具,17,200,3400,鈴木,福岡
2025/03/22,お茶パック,食品,2,350,700,佐藤,名古屋
2025/03/23,消しゴム,文房具,6,100,600,鈴木,福岡
2025/03/23,クリアファイル,文房具,20,200,4000,鈴木,名古屋
2025/03/23,ハンドソープ,日用品,7,350,2450,鈴木,名古屋
2025/03/23,ティッシュペーパー,日用品,13,300,3900,田中,大阪
2025/03/24,お茶パック,食品,16,350,5600,鈴木,大阪
2025/03/24,ハンドソープ,日用品,10,350,3500,高橋,名古屋
2025/03/24,洗剤,日用品,20,400,8000,鈴木,大阪
2025/03/25,ノート,文房具,13,300,3900,山田,福岡
2025/03/26,洗剤,日用品,21,400,8400,鈴木,東京
2025/03/26,クリアファイル,文房具,13,200,2600,鈴木,大阪
2025/03/26,電池,家電,9,500,4500,佐藤,東京
2025/03/26,洗剤,日用品,10,400,4000,高橋,東京
2025/03/27,ハンドソープ,日用品,15,350,5250,佐藤,東京
2025/03/27,ボールペン,文房具,24,150,3600,鈴木,大阪
2025/03/27,ボールペン,文房具,6,150,900,佐藤,名古屋
2025/03/27,ハンドソープ,日用品,8,350,2800,山田,東京
2025/03/27,ノート,文房具,8,300,2400,高橋,東京
2025/03/27,ミネラルウォーター,食品,15,100,1500,山田,福岡
2025/03/28,ハンドソープ,日用品,13,350,4550,高橋,福岡
2025/03/28,お茶パック,食品,7,350,2450,佐藤,大阪
2025/03/28,インスタントコーヒー,食品,2,500,1000,佐藤,大阪
2025/03/28,ハンドソープ,日用品,16,350,5600,鈴木,東京
2025/03/29,洗剤,日用品,23,400,9200,鈴木,名古屋
2025/03/29,クリアファイル,文房具,12,200,2400,山田,名古屋
2025/03/29,洗剤,日用品,3,400,1200,佐藤,東京
2025/03/29,ティッシュペーパー,日用品,8,300,2400,佐藤,名古屋
2025/03/30,ミネラルウォーター,食品,9,100,900,鈴木,大阪
2025/03/30,ティッシュペーパー,日用品,13,300,3900,山田,福岡
2025/03/30,ハンドソープ,日用品,6,350,2100,鈴木,東京
2025/03/31,洗剤,日用品,9,400,3600,高橋,名古屋
2025/03/31,ミネラルウォーター,食品,22,100,2200,鈴木,大阪
2025/03/31,ハンドソープ,日用品,9,350,3150,山田,福岡
2025/03/31,チョコレート,食品,14,250,3500,佐藤,大阪
2025/03/31,ボールペン,文房具,12,150,1800,山田,福岡
2025/04/02,ミネラルウォーター,食品,17,100,1700,鈴木,大阪
2025/04/02,ノート,文房具,9,300,2700,佐藤,福岡
2025/04/02,お茶パック,食品,19,350,6650,鈴木,東京
2025/04/02,インスタントコーヒー,食品,19,500,9500,鈴木,東京
2025/04/02,イヤホン,家電,7,2500,17500,山田,東京
2025/04/03,ティッシュペーパー,日用品,9,300,2700,佐藤,名古屋
2025/04/03,クリアファイル,文房具,11,200,2200,佐藤,福岡
2025/04/04,ボールペン,文房具,19,150,2850,鈴木,福岡
2025/04/04,ボールペン,文房具,15,150,2250,鈴木,福岡
2025/04/05,クリアファイル,文房具,14,200,2800,山田,福岡
2025/04/05,ミネラルウォーター,食品,20,100,2000,鈴木,名古屋
2025/04/06,モバイルバッテリー,家電,10,3000,30000,高橋,東京
2025/04/06,クリアファイル,文房具,13,200,2600,山田,福岡
2025/04/07,モバイルバッテリー,家電,4,3000,12000,佐藤,福岡
2025/04/07,ミネラルウォーター,食品,16,100,1600,鈴木,大阪
2025/04/07,消しゴム,文房具,2,100,200,山田,福岡
2025/04/07,電池,家電,10,500,5000,田中,大阪
2025/04/08,ノート,文房具,7,300,2100,佐藤,東京
2025/04/08,インスタントコーヒー,食品,15,500,7500,高橋,大阪
2025/04/08,消しゴム,文房具,15,100,1500,鈴木,福岡
2025/04/08,ボールペン,文房具,21,150,3150,鈴木,大阪
2025/04/08,インスタントコーヒー,食品,4,500,2000,田中,福岡
2025/04/10,お茶パック,食品,23,350,8050,鈴木,名古屋
2025/04/10,インスタントコーヒー,食品,19,500,9500,鈴木,大阪
2025/04/10,お茶パック,食品,8,350,2800,鈴木,東京
2025/04/10,消しゴム,文房具,6,100,600,高橋,名古屋
2025/04/10,ハンドソープ,日用品,12,350,4200,田中,名古屋
2025/04/10,ノート,文房具,8,300,2400,佐藤,名古屋
2025/04/11,洗剤,日用品,3,400,1200,高橋,東京
2025/04/11,USBケーブル,家電,14,800,11200,鈴木,福岡
2025/04/11,洗剤,日用品,9,400,3600,佐藤,東京
2025/04/11,ボールペン,文房具,10,150,1500,高橋,東京
2025/04/11,ノート,文房具,7,300,2100,高橋,福岡
2025/04/12,インスタントコーヒー,食品,6,500,3000,佐藤,大阪
2025/04/12,インスタントコーヒー,食品,7,500,3500,佐藤,大阪
2025/04/12,モバイルバッテリー,家電,14,3000,42000,山田,東京
2025/04/12,洗剤,日用品,8,400,3200,高橋,名古屋
2025/04/13,クリアファイル,文房具,12,200,2400,鈴木,東京
2025/04/13,イヤホン,家電,10,2500,25000,鈴木,名古屋
2025/04/13,モバイルバッテリー,家電,9,3000,27000,佐藤,東京
2025/04/13,洗剤,日用品,15,400,6000,高橋,名古屋
2025/04/13,ノート,文房具,3,300,900,佐藤,名古屋
2025/04/14,クリアファイル,文房具,6,200,1200,山田,福岡
2025/04/14,ノート,文房具,11,300,3300,山田,福岡
2025/04/14,お茶パック,食品,17,350,5950,鈴木,福岡
2025/04/14,消しゴム,文房具,12,100,1200,鈴木,福岡
2025/04/15,ハンドソープ,日用品,2,350,700,田中,福岡
2025/04/15,消しゴム,文房具,14,100,1400,鈴木,東京
2025/04/15,チョコレート,食品,17,250,4250,鈴木,東京
2025/04/15,ノート,文房具,10,300,3000,鈴木,福岡
2025/04/15,モバイルバッテリー,家電,25,3000,75000,鈴木,大阪
2025/04/16,インスタントコーヒー,食品,19,500,9500,鈴木,大阪
2025/04/17,ミネラルウォーター,食品,9,100,900,山田,大阪
2025/04/17,ミネラルウォーター,食品,6,100,600,鈴木,大阪
2025/04/17,チョコレート,食品,10,250,2500,山田,大阪
2025/04/17,ハンドソープ,日用品,14,350,4900,山田,名古屋
2025/04/17,ミネラルウォーター,食品,4,100,400,山田,大阪
2025/04/18,チョコレート,食品,15,250,3750,山田,大阪
2025/04/18,USBケーブル,家電,21,800,16800,鈴木,東京
2025/04/18,チョコレート,食品,15,250,3750,鈴木,東京
2025/04/18,お茶パック,食品,10,350,3500,鈴木,大阪
2025/04/18,チョコレート,食品,12,250,3000,山田,大阪
2025/04/18,クリアファイル,文房具,10,200,2000,田中,福岡
2025/04/18,電池,家電,5,500,2500,高橋,東京
2025/04/18,ミネラルウォーター,食品,1,100,100,山田,大阪
2025/04/18,ミネラルウォーター,食品,13,100,1300,鈴木,大阪
2025/04/19,ミネラルウォーター,食品,8,100,800,鈴木,大阪
2025/04/20,クリアファイル,文房具,22,200,4400,鈴木,福岡
2025/04/21,インスタントコーヒー,食品,23,500,11500,鈴木,大阪
2025/04/21,消しゴム,文房具,15,100,1500,佐藤,東京
2025/04/21,チョコレート,食品,17,250,4250,鈴木,名古屋
2025/04/22,洗剤,日用品,11,400,4400,田中,大阪
2025/04/22,消しゴム,文房具,12,100,1200,佐藤,福岡
2025/04/22,ボールペン,文房具,18,150,2700,鈴木,福岡
2025/04/22,消しゴム,文房具,13,100,1300,田中,福岡
2025/04/22,ハンドソープ,日用品,1,350,350,田中,大阪
2025/04/23,ティッシュペーパー,日用品,11,300,3300,鈴木,東京
2025/04/23,お茶パック,食品,13,350,4550,鈴木,福岡
2025/04/24,モバイルバッテリー,家電,20,3000,60000,鈴木,東京
2025/04/24,ボールペン,文房具,2,150,300,田中,名古屋
2025/04/25,ティッシュペーパー,日用品,2,300,600,田中,福岡
2025/04/25,ミネラルウォーター,食品,10,100,1000,山田,大阪
2025/04/25,クリアファイル,文房具,18,200,3600,鈴木,福岡
2025/04/25,電池,家電,24,500,12000,鈴木,東京
2025/04/26,消しゴム,文房具,6,100,600,田中,福岡
2025/04/26,USBケーブル,家電,3,800,2400,山田,東京
2025/04/26,ハンドソープ,日用品,13,350,4550,鈴木,福岡
2025/04/26,ノート,文房具,12,300,3600,山田,福岡
2025/04/27,チョコレート,食品,21,250,5250,鈴木,大阪
2025/04/27,ボールペン,文房具,8,150,1200,高橋,名古屋
2025/04/27,モバイルバッテリー,家電,14,3000,42000,佐藤,名古屋
2025/04/28,ノート,文房具,3,300,900,佐藤,福岡
2025/04/28,ボールペン,文房具,5,150,750,高橋,福岡
2025/04/28,洗剤,日用品,11,400,4400,佐藤,大阪
2025/04/28,ハンドソープ,日用品,4,350,1400,田中,東京
2025/04/28,ハンドソープ,日用品,7,350,2450,鈴木,名古屋
2025/04/30,電池,家電,10,500,5000,鈴木,東京
2025/04/30,消しゴム,文房具,14,100,1400,鈴木,大阪
2025/04/30,モバイルバッテリー,家電,5,3000,15000,佐藤,大阪
2025/04/30,インスタントコーヒー,食品,4,500,2000,山田,福岡
